category,item,human_guided,ai_agent,key_difference,possible_methodological_implication,source_human,source_ai_agent
fusion,selection metric,Validation ROC-AUC maximum,identical,none,same primary criterion,Human-guided final result artifact,AI-Agent frozen Task C result
fusion,tie-break,"Validation PR-AUC, then Brier","Validation PR-AUC, then Brier, then the w closest to 0.5","the agent adds a third, deterministic tie-break",makes the outcome reproducible when the first three metrics tie,Human-guided final result artifact,AI-Agent frozen Task C result
fusion,data used for weight selection,Validation only,Validation only,none,neither used Test to choose the weight,Human-guided final result artifact,AI-Agent frozen Task C result
fusion,strategy fixed before comparison,not recorded in the available artefacts,"yes: probability-space weighted averaging was fixed before any Validation search, with logit-space fusion and logistic stacking as non-competing secondary arms",the agent pre-registered the strategy; the human-guided pipeline's ordering is not documented in the artefacts available here,"pre-registration removes the option of switching strategy after seeing Validation results; it is a documentation difference here, not evidence about what was done",Human-guided final result artifact,AI-Agent frozen Task C result
fusion,Test locked during design,yes,yes,none,both froze the specification before the Test set was opened,Human-guided final result artifact,AI-Agent frozen Task C result
evaluation,ECE definition,"10 equal-width bins over [0,1]","10 equal-width bins over [0,1]",**none -- the definitions are identical**,"unlike the Task B comparison, no harmonisation of ECE is needed here; the values are directly comparable",Human-guided final result artifact,AI-Agent frozen Task C result
evaluation,bootstrap for the AUROC CI,"10,000 resamples, stratified, seed 42","2000 resamples, stratified, seed 12345",different resample count and seed,the confidence intervals were generated using different bootstrap settings and therefore were not used for a standardized numerical comparison of uncertainty between the two pipelines; a harmonised recomputation is provided separately,Human-guided final result artifact,AI-Agent frozen Task C result
evaluation,threshold rule,not recorded for the fusion model in the available artefacts,"Validation Youden maximum, tie-break lowest, frozen and not recomputed on Test",the agent's threshold provenance is explicit,threshold-dependent metrics depend on this value,Human-guided final result artifact,AI-Agent frozen Task C result
evaluation,modality importance,"permutation importance on Test, with percentile bounds","permutation importance on Validation and on Test, 30 repeats, seed 42, Test labelled post hoc descriptive",the agent reports both splits and marks the Test one as non-decisional,modality importance on Test cannot be used to change a specification,Human-guided final result artifact,AI-Agent frozen Task C result
evaluation,DeLong families,two files matching the same two-family shape,"two pre-registered families, Holm within each, family column required",the agent fixed the family structure in a plan file before the Test set was opened,the overlapping comparison carries two adjusted p-values in both pipelines,Human-guided final result artifact,AI-Agent frozen Task C result
