category,item,human_guided,ai_agent,key_difference,possible_methodological_implication,source_human,source_ai_agent
preprocessing,abnormal-value handling,not documented in the available artefacts,"7 physiologically impossible values set to missing (RR 67/88/95, HR 6/16, BMI 11.95/92.8); patients never dropped; no blanket outlier removal","explicit and recorded in the agent pipeline, not found for the human-guided one","an undocumented step cannot be reproduced or audited; this is a documentation difference, not necessarily an analytic one",Human-guided final result artifact,AI-Agent frozen Task B result
preprocessing,continuous imputation,Train median for all continuous variables,"per variable: Train mean when |skew| < 0.5, otherwise Train median",the agent chooses the statistic per variable from the Training distribution,the median is robust for skewed variables; the mean is more efficient for symmetric ones. The practical difference is small when most variables are skewed,Human-guided final result artifact,AI-Agent frozen Task B result
preprocessing,missing indicator,none for continuous variables,"lymph_missing only, by criteria fixed before selection was run",the agent adds exactly one indicator,"its adjusted coefficient was near zero, so it mainly occupies a coefficient; an arm A/B/C sensitivity analysis quantifies the effect",Human-guided final result artifact,AI-Agent frozen Task B result
preprocessing,transformation,"log1p on lymphocyte, CRP, lactate","log1p on variables with Training skew >= +1.0 (RR, BUN, CRP, lymphocyte, D-dimer, lactate)",the agent applies a stated rule and restricts it to right skew,applying log to a left-skewed variable worsens it; SpO2 (skew -2.10) is left untransformed in the agent pipeline,Human-guided final result artifact,AI-Agent frozen Task B result
preprocessing,scaling,StandardScaler fitted on Train,StandardScaler fitted on Train for LR and MLP; trees use raw values,the agent does not scale inputs to the tree model,"trees are invariant to monotone transforms, so this does not change the tree fit",Human-guided final result artifact,AI-Agent frozen Task B result
preprocessing,categorical encoding,"one-hot, reference age [18,59] / sex FEMALE / hf No","one-hot, drop_first, reference age [18,59] / sex FEMALE / troponin undetectable","same scheme, different variables encoded",both give odds ratios relative to a low-risk reference,Human-guided final result artifact,AI-Agent frozen Task B result
preprocessing,sex missing,imputed with the Train mode (MALE); no Missing category,"imputed with the Train mode (MALE); no missing indicator, by explicit decision",same handling; the agent records why,"19 Training patients lack sex and 18 of them died; an indicator would encode that association, which may reflect a nonclinical missingness mechanism",Human-guided final result artifact,AI-Agent frozen Task B result
preprocessing,heart failure missing,explicit Missing category (hf_Missing),heart failure not in the final model,only the human-guided model carries a missingness level as a predictor,hf_Missing behaves as a missing indicator for one variable while other variables have none,Human-guided final result artifact,AI-Agent frozen Task B result
preprocessing,troponin,"candidate, removed by backward AIC; treated as continuous",treated as detectable / undetectable and retained,different representation of the same measurement,"78.2% of Training values sit at the assay floor 0.01, so a continuous scale assumes precision the assay does not provide",Human-guided final result artifact,AI-Agent frozen Task B result
preprocessing,fit dataset,Train only,Train only,none,neither pipeline lets Validation or Test influence preprocessing parameters,Human-guided final result artifact,AI-Agent frozen Task B result
hyperparameters,LR,"L2, C=1.0, class_weight=None, solver=liblinear","L2, C=1.0, class_weight=balanced, solver=lbfgs",class weighting: none vs balanced,"class weighting shifts predicted probabilities upward, which changes calibration and the operating threshold without necessarily changing the ranking",Human-guided final result artifact,AI-Agent frozen Task B result
hyperparameters,LR selection,Validation ROC-AUC over 8 conditions,Training-internal repeated 5-fold x 3 cross-validation over 8 conditions,selection data: Validation (17 events) vs Training CV (135 events),selecting on 17 events is noisy and makes the Validation estimate optimistic for the chosen condition,Human-guided final result artifact,AI-Agent frozen Task B result
hyperparameters,XGBoost,"depth 3, lr 0.10, min_child_weight 1, subsample 0.8, colsample 0.8, scale_pos_weight 1.0, reg_alpha 0, reg_lambda 1, 25 trees (best iteration 24)","depth 3, lr 0.03, min_child_weight 10, subsample 0.8, colsample 0.8, scale_pos_weight 1.0, reg_lambda 1.0, n_estimators 300",the agent chose a lower learning rate and a much higher min_child_weight,"a higher min_child_weight forces more events per leaf, which constrains the tree in a 135-event problem",Human-guided final result artifact,AI-Agent frozen Task B result
hyperparameters,XGBoost early stopping,early stopping on the Validation set,"no early stopping; fixed 300 trees at lr 0.03, condition chosen by Training-internal CV",the agent does not use Validation to stop training,"using Validation to stop, to choose among conditions and to set the threshold makes the Validation estimate optimistic three times over",Human-guided final result artifact,AI-Agent frozen Task B result
hyperparameters,MLP architecture,"12 -> 64 -> 32 -> 1, dropout 0.2","12 -> 32 -> 16 -> 1, dropout 0.3",the agent used a smaller network with more dropout,12 inputs and 135 events give little support for a wide network,Human-guided final result artifact,AI-Agent frozen Task B result
hyperparameters,MLP optimisation,"AdamW, lr 1e-4, weight decay 1e-4, batch 64, pos_weight 1.0, best epoch 24","AdamW, lr 3e-4, weight decay 1e-3, batch 32, pos_weight 6.563, best epoch 15","the agent used class weighting, a higher learning rate and stronger weight decay","pos_weight 6.563 raises predicted probabilities, which moves the operating threshold from 0.49 to 0.55 and affects calibration",Human-guided final result artifact,AI-Agent frozen Task B result
evaluation,bootstrap for the AUROC CI,"10,000 resamples, seed 42","2,000 resamples, seed 12345",different resample count and seed,the confidence intervals were generated using different bootstrap settings and therefore were not used for a standardized numerical comparison of uncertainty between the two pipelines; the point estimates are comparable,Human-guided final result artifact,AI-Agent frozen Task B result
evaluation,ECE definition,"10 equal-width bins over [0,1] (Notebook/TaskB_03_ClinicalModeling.ipynb cell 10: bins = np.linspace(0.0, 1.0, n_bins + 1), n_bins=10)","5 equal-count (quantile) bins (scripts/27 and scripts/30, calibration_table(): edges = np.quantile(p, np.linspace(0, 1, n_bins + 1)), n_bins=5)",different bin count AND different binning scheme; the aggregation is identical,the reported ECE values are not on one scale. A harmonised recomputation with 10 equal-width bins for all six models is in harmonized_ece.csv; it changes the AI-agent XGBoost value from 0.022064 to 0.074899 and leaves the human-guided values unchanged,Human-guided final result artifact,AI-Agent frozen Task B result
evaluation,threshold rule,Validation Youden maximum,"Validation Youden maximum, tie-break lowest, frozen before Test",same rule; the agent froze the value and verified it was not recomputed on Test,threshold-dependent metrics depend on this value,Human-guided final result artifact,AI-Agent frozen Task B result
evaluation,feature importance,"permutation importance on Validation, 30 repeats","permutation importance on Validation, 30 repeats (planned; primary), plus LR coefficients and XGBoost gain",same primary method,keeps the three model families on one scale,Human-guided final result artifact,AI-Agent frozen Task B result
